testno,rps,elevation_input,azimuth_input,FT_thrust_avg,FT_elevation_avg,FT_azimuth_avg,FT_torque_avg,FT_thrust_avg_stddev,FT_elevation_avg_stddev,FT_azimuth_avg_stddev,FT_torque_avg_stddev
0,50,0.0,0.4,3.788676348686084,4.018961777540465,107.376449008836,0.0888567114133608,0.0047870848874124,1.351441647812632,111.58113138492364,0.0047870848874124
1,50,0.1,0.4,3.643820010643115,5.188724636373643,-15.931174750963043,0.0810146586350195,0.004206053103085,1.0187933740673918,12.218112549083822,0.004206053103085
2,50,0.2,0.4,3.579248197928187,11.447898377852482,-18.5946981093532,0.0857453472247866,0.0053310723260429,1.5435835631945407,7.142195379802445,0.0053310723260429
3,50,0.3,0.4,3.3835914607710045,20.135584480322983,-13.712576844449414,0.097143727254922,0.014394738098924,4.252742466851547,6.209086282827175,0.014394738098924
4,60,0.0,0.4,5.4799225098867606,2.5703992243956337,122.25485997704558,0.1167654968111317,0.0047113647774184,0.9619388495733768,107.50990427800014,0.0047113647774184
5,60,0.1,0.4,5.309540498028228,4.786651107947595,-16.65138372592368,0.1133699190220054,0.0041283328880003,0.6619206390146661,10.78788139783951,0.0041283328880003
6,60,0.2,0.4,5.2150842633383565,12.731458588607335,-22.756418035463454,0.1217080952434048,0.0093498698135209,2.828749155150432,20.186278512405057,0.0093498698135209
7,60,0.3,0.4,4.821948202207316,19.280168711780075,-15.922770616437363,0.1365435047839994,0.0086144380017348,1.802460633232492,6.2438292035635214,0.0086144380017348
8,70,0.0,0.4,7.457110113226604,2.5836685190608115,155.71733280786984,0.1518187058611236,0.004805600576405,0.4134788928732288,35.512685884479524,0.004805600576405
9,70,0.1,0.4,7.488035928765385,4.42439038973568,-19.066796704208237,0.1537018553737452,0.0044769680181609,0.5160650426164967,8.077487624350143,0.0044769680181609
10,70,0.2,0.4,7.272447855272283,11.434624601072052,-20.28597609140434,0.1575397768094182,0.0045070522080105,0.7740871269895677,3.629481052410396,0.0045070522080105
11,70,0.3,0.4,6.537159848517491,23.406928061800517,-25.266259889628625,0.1962147173855004,0.0372907273969838,9.65172096761104,13.59630667857084,0.0372907273969838
13,80,0.0,0.4,10.061930539285395,2.387338829104503,148.7543500199062,0.1975920772903069,0.004082632083828,0.3887164647551729,6.388821929530828,0.004082632083828
14,80,0.1,0.4,9.76026561698326,4.072156990645558,-20.22961860849772,0.2031890981497595,0.005340109992876,0.6382422231551061,8.60013570417282,0.005340109992876
15,80,0.2,0.4,10.08555049618486,9.87369825812706,-13.455007840672458,0.2405708496132378,0.0081791460109277,0.8773437006850464,6.560891267139769,0.0081791460109277
16,80,0.3,0.4,8.186103268219453,18.9365955159385,-24.821736185328067,0.2814952761044225,0.0609477970285518,6.620187236403579,57.44344144466582,0.0609477970285518
18,50,0.25,-1.0,3.5177277778219254,19.34989745543133,-270.99532,0.091576820282145,0.0068682917765277,1.8300129088367592,4.090379584594265,0.0068682917765277
19,50,0.25,-0.5,3.571056495696314,20.46163734736369,-189.920879,0.0892449985678645,0.0090243535092264,2.001307360490573,4.415529515961325,0.0090243535092264
20,50,0.25,0.0,3.562038549401274,16.7165947650971,-103.75132638622232,0.0910060898140072,0.0073252550479154,2.057535382889236,6.340492515644206,0.0073252550479154
21,50,0.25,0.5,3.554530105657061,15.382796068180795,-4.441023095505286,0.0928595533549893,0.0059660782443612,1.748322632579928,6.112834460977918,0.0059660782443612
22,50,0.25,1.0,3.4192317846849423,18.78880874719817,86.86895494881911,0.0938382806005946,0.0094300248151056,1.4373127510747066,4.901297069495556,0.0094300248151056
23,70,0.25,-1.0,7.453811639108069,17.599898222795982,-272.921109,0.186622578122303,0.0087379385452617,1.1473317828696143,3.914463268423466,0.0087379385452617
24,70,0.25,-0.5,7.459234435917539,18.55684944769896,-193.043808,0.1716256515360285,0.0080178544810886,0.9887253774971688,3.0261919999477858,0.0080178544810886
25,70,0.25,0.0,7.527161187510076,15.893276528396283,-106.19795884532556,0.1757290138330138,0.006967835630941,1.4564932032161173,3.2034200944375546,0.006967835630941
26,70,0.25,0.5,7.486254168774074,14.78969815732296,-7.891668991235042,0.1946109534216916,0.0110320031699191,1.0416528169630808,5.31729922352149,0.0110320031699191
27,70,0.25,1.0,7.280941048444856,18.12723905504057,87.07122288316711,0.1833727820337002,0.0110628971156827,1.2731747622664906,4.036834639137281,0.0110628971156827