testno.,rps,elevation_input,azimuth_input,FT_thrust_avg,FT_elevation_avg,FT_azimuth_avg,FT_torque_avg,FT_thrust_avg_stddev,FT_elevation_avg_stddev,FT_azimuth_avg_stddev,FT_torque_avg_stddev,img_elevation
0,50,0.0,0.4,3.788676348686084,4.018961777540465,107.376449008836,0.0888567114133608,0.0047870848874124,1.351441647812632,111.58113138492364,0.0047870848874124,0.0
1,50,0.1,0.4,3.643820010643115,5.188724636373643,-15.931174750963043,0.0810146586350195,0.004206053103085,1.0187933740673918,12.218112549083822,0.004206053103085,6.5
2,50,0.2,0.4,3.579248197928187,11.447898377852482,-18.5946981093532,0.0857453472247866,0.0053310723260429,1.5435835631945407,7.142195379802445,0.0053310723260429,13.5
3,50,0.3,0.4,3.3835914607710045,20.135584480322983,-13.712576844449414,0.097143727254922,0.014394738098924,4.252742466851547,6.209086282827175,0.014394738098924,20.0
4,60,0.0,0.4,5.4799225098867606,2.5703992243956337,122.25485997704558,0.1167654968111317,0.0047113647774184,0.9619388495733768,107.50990427800014,0.0047113647774184,0.0
5,60,0.1,0.4,5.309540498028228,4.786651107947595,-16.65138372592368,0.1133699190220054,0.0041283328880003,0.6619206390146661,10.78788139783951,0.0041283328880003,6.0
6,60,0.2,0.4,5.2150842633383565,12.731458588607335,-22.756418035463454,0.1217080952434048,0.0093498698135209,2.828749155150432,20.186278512405057,0.0093498698135209,13.0
7,60,0.3,0.4,4.821948202207316,19.280168711780075,-15.922770616437363,0.1365435047839994,0.0086144380017348,1.802460633232492,6.2438292035635214,0.0086144380017348,20.5
8,70,0.0,0.4,7.457110113226604,2.5836685190608115,155.71733280786984,0.1518187058611236,0.004805600576405,0.4134788928732288,35.512685884479524,0.004805600576405,0.0
9,70,0.1,0.4,7.488035928765385,4.42439038973568,-19.066796704208237,0.1537018553737452,0.0044769680181609,0.5160650426164967,8.077487624350143,0.0044769680181609,5.5
10,70,0.2,0.4,7.272447855272283,11.434624601072052,-20.28597609140434,0.1575397768094182,0.0045070522080105,0.7740871269895677,3.629481052410396,0.0045070522080105,12.5
11,70,0.3,0.4,6.537159848517491,23.406928061800517,-25.266259889628625,0.1962147173855004,0.0372907273969838,9.65172096761104,13.59630667857084,0.0372907273969838,19.0
13,80,0.0,0.4,10.061930539285395,2.387338829104503,148.7543500199062,0.1975920772903069,0.004082632083828,0.3887164647551729,6.388821929530828,0.004082632083828,0.0
14,80,0.1,0.4,9.76026561698326,4.072156990645558,-20.22961860849772,0.2031890981497595,0.005340109992876,0.6382422231551061,8.60013570417282,0.005340109992876,5.5
15,80,0.2,0.4,10.08555049618486,9.87369825812706,-13.455007840672458,0.2405708496132378,0.0081791460109277,0.8773437006850464,6.560891267139769,0.0081791460109277,11.0
16,80,0.3,0.4,8.186103268219453,18.9365955159385,-24.821736185328067,0.2814952761044225,0.0609477970285518,6.620187236403579,57.44344144466582,0.0609477970285518,18.5